Reference,Qty,Value,Datasheet,MP,Description
"C1,C2",2,220u,https://www.lcsc.com/datasheet/C2163363.pdf?spm=wm.fly.bg.0.pdf&lcsc_vid=T1gKA1MARgVZUlMCRlhdA1VQRVNaVQFRFlRfAlBUFlcxVlNRT1RWUlxRQlFfVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlRbSQwSGg0%3D,,"Polarized capacitor, small US symbol"
"C3,C8",2,15p,https://eu.mouser.com/datasheet/3/76/1/GRM022R60G474ME15-01A.pdf,GRM022R60G474ME15L,SMD capacitor X5R(EIA) with capacitance 0.47uF Tol.20%. Rated voltage 4Vdc 85C
C4,1,1u,https://eu.mouser.com/datasheet/3/76/1/GRM022R60G474ME15-01A.pdf,GRM022R60G474ME15L,SMD capacitor X5R(EIA) with capacitance 0.47uF Tol.20%. Rated voltage 4Vdc 85C
"C5,C6",2,12p,https://eu.mouser.com/datasheet/3/76/1/GRM022R60G474ME15-01A.pdf,GRM022R60G474ME15L,SMD capacitor X5R(EIA) with capacitance 0.47uF Tol.20%. Rated voltage 4Vdc 85C
"C7,C26,C27,C28,C29,C32,C34",7,100n,https://eu.mouser.com/datasheet/3/76/1/GRM022R60G474ME15-01A.pdf,GRM022R60G474ME15L,SMD capacitor X5R(EIA) with capacitance 0.47uF Tol.20%. Rated voltage 4Vdc 85C
"C9,C10",2,18p,https://eu.mouser.com/datasheet/3/76/1/GRM022R60G474ME15-01A.pdf,GRM022R60G474ME15L,SMD capacitor X5R(EIA) with capacitance 0.47uF Tol.20%. Rated voltage 4Vdc 85C
"C11,C12,C13",3,1p,https://eu.mouser.com/datasheet/3/76/1/GRM022R60G474ME15-01A.pdf,GRM022R60G474ME15L,SMD capacitor X5R(EIA) with capacitance 0.47uF Tol.20%. Rated voltage 4Vdc 85C
"C14,C15",2,47u,https://eu.mouser.com/datasheet/3/76/1/GRM022R60G474ME15-01A.pdf,,Polarized capacitor
"C16,C17,C18,C19,C20,C21,C22,C23,C24,C25",10,0u1,https://eu.mouser.com/datasheet/3/76/1/GRM022R60G474ME15-01A.pdf,GRM022R60G474ME15L,SMD capacitor X5R(EIA) with capacitance 0.47uF Tol.20%. Rated voltage 4Vdc 85C
"C30,C31",2,22p,https://eu.mouser.com/datasheet/3/76/1/GRM022R60G474ME15-01A.pdf,GRM022R60G474ME15L,SMD capacitor X5R(EIA) with capacitance 0.47uF Tol.20%. Rated voltage 4Vdc 85C
C33,1,10u,https://eu.mouser.com/datasheet/3/76/1/GRM022R60G474ME15-01A.pdf,GRM022R60G474ME15L,SMD capacitor X5R(EIA) with capacitance 0.47uF Tol.20%. Rated voltage 4Vdc 85C
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D19,D21,D22",13,LED,https://www.digikey.com/en/products/detail/kingbright/APT2012SURCK/1747532,APT2012SURCK,Light emitting diode
"D11,D12,D13,D14,D15,D16,D17,D18",8,1N4007,http://www.vishay.com/docs/88503/1n4001.pdf,,"1000V 1A General Purpose Rectifier Diode, DO-41"
D20,1,1N4001,http://www.vishay.com/docs/88503/1n4001.pdf,,"50V 1A General Purpose Rectifier Diode, DO-41"
F1,1,MF-MSMF050-2,https://www.lcsc.com/datasheet/C17313.pdf?spm=wm.fly.bg.0.pdf&lcsc_vid=T1gKA1MARgVZUlMCRlhdA1VQRVNaVQFRFlRfAlBUFlcxVlNRT1RWU1RVRlJYUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRldeSQwSGg0%3D,MF-MSMF050-2,"Fuse, Resettable, 100A, Sz 4532, 0.186x0.134x0.033, SMT, 15VDC, DCR 0.15 Ohms | Bourns MF-MSMF050-2"
FL1,1,BLM21SP111SH1D,https://pim.murata.com/asset/pim4/ferriteBeadInductortypefilter/QNFA9102_PDF_FERRITEBEADINDUCTORTYPEFILTER?lastModifiedDatetime=20250901133228,BLM21SP111SH1D,Ferrite Beads Multi-Layer Power 110Ohm 25% 100MHz 5A 0.013Ohm DCR 0805 Automotive T/R
"J1,J2,J4",3,Screw_Terminal_01x02,https://www.lcsc.com/datasheet/C590402.pdf?spm=wm.fly.bg.0.pdf&lcsc_vid=T1gKA1MARgVZUlMCRlhdA1VQRVNaVQFRFlRfAlBUFlcxVlNRT1RWUVZWRlhYUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
J3,1,Screw_Terminal_01x03,https://www.lcsc.com/datasheet/C5172715.pdf,,"Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"
J6,1,USB_B,https://www.lcsc.com/datasheet/C720549.pdf?spm=wm.fly.bg.3.pdf___wm.ssy.tc.0.tz&lcsc_vid=T1gKA1MARgVZUlMCRlhdA1VQRVNaVQFRFlRfAlBUFlcxVlNRT1RWU1BTRlJfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,292304-1,Type B Standard USB Connector 4 Position Right Angle Mount 1 Port | TE Connectivity 292304-1
